year,temperature_type,value
2014,meantemp,28.02258064516129
2015,meantemp,28.19516129032258
2016,meantemp,28.33225806451613
2017,meantemp,28
2018,meantemp,27.98225806451613
2019,meantemp,28.41673835125448
2020,meantemp,28.072093993325915
2021,meantemp,27.92557603686636
2022,meantemp,27.77497311827957
2023,meantemp,28.366666666666667
2014,maxtemp,29.400000000000002
2015,maxtemp,29.100000000000005
2016,maxtemp,29.400000000000002
2017,maxtemp,29.300000000000008
2018,maxtemp,29.400000000000002
2019,maxtemp,29.100000000000005
2020,maxtemp,29.300000000000008
2021,maxtemp,29.200000000000003
2022,maxtemp,29.500000000000004
2023,maxtemp,29.700000000000003
2014,mintemp,20.8
2015,mintemp,21.588494233094064
2016,mintemp,21.199999999999996
2017,mintemp,21.700000000000003
2018,mintemp,20.900000000000002
2019,mintemp,21.099999999999998
2020,mintemp,21.4
2021,mintemp,21.4
2022,mintemp,20.399999999999995
2023,mintemp,21.099999999999998
