year,month,temperature_type,value
2014,1,meantemp,26.661290322580644
2014,2,meantemp,26.203225806451613
2014,3,meantemp,27.225
2014,4,meantemp,27.7
2014,5,meantemp,28.1139400921659
2014,6,meantemp,28.564516129032256
2014,7,meantemp,29.036666666666665
2014,8,meantemp,28.73225806451613
2014,9,meantemp,27.951612903225808
2014,10,meantemp,28.503333333333334
2014,11,meantemp,28.375806451612902
2014,12,meantemp,27.558333333333334
2015,1,meantemp,27.05967741935484
2015,2,meantemp,26.861290322580643
2015,3,meantemp,27.383870967741935
2015,4,meantemp,27.919354838709676
2015,5,meantemp,28.326666666666668
2015,6,meantemp,28.725806451612904
2015,7,meantemp,28.863333333333333
2015,8,meantemp,29.03548387096774
2015,9,meantemp,28.351612903225806
2015,10,meantemp,28.606666666666666
2015,11,meantemp,28.674193548387098
2015,12,meantemp,27.766666666666666
2016,1,meantemp,27.716129032258063
2016,2,meantemp,27.919354838709676
2016,3,meantemp,27.837931034482757
2016,4,meantemp,28.56774193548387
2016,5,meantemp,29.030967741935484
2016,6,meantemp,29.08774193548387
2016,7,meantemp,28.416666666666668
2016,8,meantemp,28.31935483870968
2016,9,meantemp,28.79032258064516
2016,10,meantemp,28.361666666666665
2016,11,meantemp,28.333870967741937
2016,12,meantemp,27.883333333333333
2017,1,meantemp,27.861290322580643
2017,2,meantemp,27.529032258064515
2017,3,meantemp,27.360714285714284
2017,4,meantemp,27.703225806451613
2017,5,meantemp,28.030967741935484
2017,6,meantemp,28.147333333333332
2017,7,meantemp,28.184666666666665
2017,8,meantemp,28.222
2017,9,meantemp,28.11935483870968
2017,10,meantemp,27.993333333333332
2017,11,meantemp,28.16774193548387
2017,12,meantemp,27.613333333333333
2018,1,meantemp,27.651612903225807
2018,2,meantemp,26.985339861751154
2018,3,meantemp,27.27857142857143
2018,4,meantemp,28.025806451612905
2018,5,meantemp,28.46
2018,6,meantemp,28.535698924731182
2018,7,meantemp,28.413333333333334
2018,8,meantemp,28.44516129032258
