station,year,temperature_type,value
Admiralty,2014,meantemp,27.68709677419355
Admiralty,2015,meantemp,28.145806451612906
Admiralty,2016,meantemp,28.15
Admiralty,2017,meantemp,27.59834389400922
Admiralty,2018,meantemp,27.656989247311827
Admiralty,2019,meantemp,28.21483870967742
Admiralty,2020,meantemp,27.843763440860215
Admiralty,2021,meantemp,27.512857142857143
Admiralty,2022,meantemp,27.53333333333333
Admiralty,2023,meantemp,28.04
Ang Mo Kio,2014,meantemp,27.72427419354839
Ang Mo Kio,2015,meantemp,28.206021505376345
Ang Mo Kio,2016,meantemp,28.3744623655914
Ang Mo Kio,2017,meantemp,27.936666666666667
Ang Mo Kio,2018,meantemp,27.77532258064516
Ang Mo Kio,2019,meantemp,28.5205376344086
Ang Mo Kio,2020,meantemp,28.125752688172042
Ang Mo Kio,2021,meantemp,27.96252688172043
Ang Mo Kio,2022,meantemp,27.761785714285715
Ang Mo Kio,2023,meantemp,28.538602150537635
Changi,2014,meantemp,28.081129032258065
Changi,2015,meantemp,28.5
Changi,2016,meantemp,28.370967741935484
Changi,2017,meantemp,27.833655913978493
Changi,2018,meantemp,27.97048387096774
Changi,2019,meantemp,28.533333333333335
Changi,2020,meantemp,28.034139784946237
Changi,2021,meantemp,28.08295698924731
Changi,2022,meantemp,27.926666666666666
Changi,2023,meantemp,28.611989247311826
Choa Chu Kang (South),2014,meantemp,27.90822580645161
Choa Chu Kang (South),2015,meantemp,27.929032258064517
Choa Chu Kang (South),2016,meantemp,28.064677419354837
Choa Chu Kang (South),2017,meantemp,28.02790322580645
Choa Chu Kang (South),2018,meantemp,27.623763440860216
Choa Chu Kang (South),2019,meantemp,28.276309523809523
Choa Chu Kang (South),2020,meantemp,27.841954022988507
Choa Chu Kang (South),2021,meantemp,27.564285714285713
Choa Chu Kang (South),2022,meantemp,27.543172043010753
Choa Chu Kang (South),2023,meantemp,28.185591397849464
Clementi,2014,meantemp,27.64682795698925
Clementi,2015,meantemp,27.77698924731183
Clementi,2016,meantemp,28.15753176930596
