year,month,monthly_rainfall
2014,1,932
2014,2,313.6
2014,3,1308.8114752195497
2014,4,2241.7831897700094
2014,5,2749.449201922013
2014,6,2003.4659601909884
2014,7,2288.7766813026
2014,8,2283.1197123494035
2014,9,1417.3165381796834
2014,10,1436.1938366205898
2014,11,3414.7
2014,12,3964.6
2015,1,952.1999999999999
2015,2,833.2
2015,3,2099.3999999999996
2015,4,2712.6
2015,5,2166.8020705826934
2015,6,902.4
2015,7,1215.274651350991
2015,8,2017.6
2015,9,1462.4
2015,10,1346.5195931244157
2015,11,2928.2033408476937
2015,12,4303.8
2016,1,2560.7193843797304
2016,2,2347.796326614429
2016,3,895.6
2016,4,2021
2016,5,2488
2016,6,2770.7999999999997
2016,7,3123.8111585340416
2016,8,1766.4166922906288
2016,9,1996.5396702898133
2016,10,2417.6223234828344
2016,11,3029.6770970805774
2016,12,2205.495737964487
2017,1,2878.3999999999996
2017,2,2001.1033241399798
2017,3,2437.8281853861426
2017,4,3153.3727769658835
2017,5,2913.7759804175316
2017,6,2125.2235114123464
2017,7,2172.9756894573634
2017,8,2011.7691930891986
2017,9,2525.580622732784
2017,10,2208
2017,11,2996.3781987428056
2017,12,2869.719646403919
2018,1,2703.290499402487
2018,2,681.6000000000001
2018,3,1672.0608590206018
2018,4,2508.57059286624
2018,5,2744.4373821371723
2018,6,2976.4748731360573
2018,7,1308
2018,8,1068.4
2018,9,2305.8
2018,10,3357.6
2018,11,4018.191783433983
2018,12,3024.4446866340622
2019,1,1171.1
2019,2,747.8
2019,3,1520.6
2019,4,2632.2523757835634
2019,5,2092.073585914215
2019,6,2660.0791418387694
2019,7,876.488285582064
2019,8,349.2
2019,9,1235.8000000000002
2019,10,2041.7445271939514
2019,11,2330.0578583767624
2019,12,3200.5087497212544
2020,1,2035.1980451488312
2020,2,1149.8
2020,3,1682.5420730012568
2020,4,2969.6248563477247
2020,5,3059.8830297623094
2020,6,3569.8115071863313
2020,7,2841.7
2020,8,1995.855391146809
2020,9,3818.7323935693103
2020,10,2283.1
2020,11,3565.517823402462
2020,12,3111.3906748610652
2021,1,5525.432691282872
2021,2,496.40000000000003
2021,3,3214.1359140856757
2021,4,3946.084608484533
2021,5,3470.505466037358
2021,6,2605.6419950898044
2021,7,2694.2
2021,8,4642.242118068461
2021,9,3204.6
2021,10,2079
2021,11,3279.6
2021,12,2696.9380980611895
2022,1,1867.3610718919203
2022,2,2738.8
2022,3,3172.81797824401
2022,4,2904.662825243052
2022,5,2522.7
2022,6,2848.328841145556
2022,7,1488.1999999999998
2022,8,2838.914453861382
2022,9,2975.086559583928
2022,10,4911.193464210343
2022,11,4344.499999999999
2022,12,2964.901633092069
2023,1,3023.037953762339
2023,2,4363
2023,3,3877.5640465949814
2023,4,2526.8999999999996
2023,5,1863.7
2023,6,2874.501496670998
2023,7,3212.1079551758557
2023,8,1684.6873754905491
2023,9,2125.5999999999995
2023,10,1518.9999999999998
2023,11,3486.6
2023,12,4487.677339346338
